Set Send Rates,Send Rates,Block Size,Min Latency,Avg Latency,Max Latency,Throughput,CPU Usage (%)
10.0,10.0,10.0,0.03,0.31,0.6,10.0,16.57
10.0,10.0,15.0,0.04,0.6,2.06,9.9,16.61
10.0,10.0,20.0,0.04,0.82,1.64,10.0,16.64
10.0,10.0,25.0,0.04,1.14,2.1,9.9,16.67
10.0,10.0,30.0,0.05,1.1,2.16,9.8,16.7
10.0,10.0,35.0,0.05,1.12,2.18,9.8,16.74
10.0,10.0,40.0,0.06,1.15,2.14,9.9,16.77
10.0,10.0,45.0,0.05,1.12,2.18,10.0,16.8
10.0,10.0,50.0,0.05,1.13,2.15,9.9,16.83
10.0,10.0,55.0,0.05,1.12,2.17,10.0,16.86
10.0,10.0,60.0,0.05,1.13,2.2,9.8,16.88
10.0,10.0,65.0,0.04,1.09,2.11,9.9,16.91
10.0,10.0,70.0,0.06,1.16,2.12,9.9,16.93
10.0,10.0,75.0,0.05,1.08,2.14,9.8,16.95
10.0,10.0,80.0,0.05,1.11,2.14,10.0,16.97
10.0,10.0,85.0,0.04,1.11,2.16,9.9,16.99
10.0,10.0,90.0,0.04,1.13,2.17,10.0,17.02
10.0,10.0,95.0,0.05,1.12,2.17,9.9,17.04
10.0,10.0,100.0,0.05,1.16,2.16,9.9,17.06
10.0,10.0,105.0,0.05,1.12,2.14,9.8,17.08
10.0,10.0,110.0,0.05,1.14,2.16,9.9,17.1
10.0,10.0,115.0,0.05,1.09,2.18,9.8,17.12
10.0,10.0,120.0,0.05,1.13,2.1,10.0,17.15
10.0,10.0,125.0,0.05,1.15,2.14,9.9,17.17
10.0,10.0,130.0,0.06,1.14,2.17,9.8,17.19
10.0,10.0,135.0,0.05,1.15,2.16,9.9,17.21
10.0,10.0,140.0,0.05,1.12,2.17,9.9,17.23
10.0,10.0,145.0,0.05,1.13,2.18,9.8,17.25
10.0,10.0,150.0,0.05,1.11,2.15,9.8,17.27
10.0,10.0,155.0,0.05,1.14,2.19,10.0,17.29
10.0,10.0,160.0,0.05,1.11,2.19,9.8,17.31
10.0,10.0,165.0,0.05,1.14,2.17,9.9,17.33
10.0,10.0,170.0,0.05,1.13,2.16,9.9,17.35
10.0,10.0,175.0,0.05,1.12,2.16,9.9,17.37
10.0,10.0,180.0,0.05,1.1,2.18,9.9,17.39
10.0,10.0,185.0,0.05,1.13,2.14,9.9,17.41
10.0,10.0,190.0,0.05,1.11,2.13,10.0,17.43
10.0,10.0,195.0,0.05,1.1,2.19,9.9,17.44
10.0,10.0,200.0,0.05,1.14,2.12,10.0,17.46
10.0,10.0,205.0,0.05,1.12,2.17,9.9,17.48
10.0,10.0,210.0,0.05,1.11,2.13,9.9,17.5
10.0,10.0,215.0,0.05,1.12,2.19,9.9,17.52
10.0,10.0,220.0,0.05,1.11,2.14,9.9,17.54
10.0,10.0,225.0,0.05,1.12,2.16,9.9,17.56
10.0,10.0,230.0,0.05,1.12,2.15,9.8,17.57
10.0,10.0,235.0,0.05,1.13,2.15,10.0,17.59
10.0,10.0,240.0,0.05,1.13,2.18,9.8,17.61
10.0,10.0,245.0,0.05,1.11,2.17,9.8,17.63
10.0,10.0,250.0,0.05,1.1,2.17,10.0,17.65
10.0,10.0,255.0,0.05,1.13,2.15,9.9,17.66
10.0,10.0,260.0,0.05,1.1,2.15,9.8,17.68
10.0,10.0,265.0,0.05,1.12,2.14,9.9,17.7
10.0,10.0,270.0,0.05,1.12,2.17,9.8,17.72
10.0,10.0,275.0,0.05,1.14,2.13,9.8,17.73
10.0,10.0,280.0,0.05,1.14,2.14,9.9,17.75
10.0,10.0,285.0,0.05,1.1,2.16,10.0,17.77
10.0,10.0,290.0,0.05,1.14,2.18,9.8,17.79
10.0,10.0,295.0,0.05,1.1,2.15,10.0,17.8
10.0,10.0,300.0,0.05,1.11,2.18,9.9,17.82
10.0,10.0,305.0,0.04,1.14,2.15,9.9,17.84
10.0,10.0,310.0,0.05,1.12,2.14,9.9,17.87
10.0,10.0,315.0,0.05,1.13,2.16,9.8,17.88
10.0,10.0,320.0,0.04,1.12,2.16,9.9,17.9
10.0,10.0,325.0,0.05,1.11,2.15,9.9,17.92
10.0,10.0,330.0,0.05,1.16,2.15,9.8,17.94
10.0,10.0,335.0,0.05,1.11,2.16,9.9,17.96
10.0,10.0,340.0,0.05,1.13,2.16,10.0,17.98
10.0,10.0,345.0,0.05,1.12,2.2,9.9,18.0
10.0,10.0,350.0,0.05,1.1,2.18,9.9,18.02
10.0,10.0,355.0,0.05,1.11,2.13,9.9,18.04
10.0,10.0,360.0,0.05,1.11,2.17,9.8,18.06
10.0,10.0,365.0,0.05,1.1,2.16,9.9,18.08
10.0,10.0,370.0,0.05,1.11,2.15,10.0,18.09
10.0,10.0,375.0,0.05,1.13,2.15,9.9,18.11
10.0,10.0,380.0,0.05,1.15,2.14,9.8,18.12
10.0,10.0,385.0,0.05,1.16,2.2,9.9,18.14
10.0,10.0,390.0,0.05,1.09,2.15,9.9,18.15
10.0,10.0,395.0,0.05,1.07,2.17,9.9,18.17
10.0,10.0,400.0,0.05,1.14,2.16,9.9,18.18
15.0,15.0,10.0,0.03,0.26,0.54,15.0,16.57
15.0,15.1,15.0,0.04,0.44,2.04,14.7,16.61
15.0,15.1,20.0,0.04,0.59,1.14,15.0,16.64
15.0,15.0,25.0,0.05,0.77,1.55,15.0,16.67
15.0,15.1,30.0,0.05,0.94,2.1,14.7,16.7
15.0,15.1,35.0,0.07,1.13,2.12,14.8,16.74
15.0,15.1,40.0,0.07,1.13,2.18,14.7,16.77
15.0,15.1,45.0,0.06,1.1,2.19,15.0,16.8
15.0,15.1,50.0,0.07,1.13,2.2,15.0,16.83
15.0,15.1,55.0,0.06,1.11,2.19,14.8,16.86
15.0,15.1,60.0,0.06,1.12,2.17,14.9,16.88
15.0,15.1,65.0,0.07,1.11,2.17,14.9,16.9
15.0,15.1,70.0,0.06,1.13,2.17,14.7,16.93
15.0,15.1,75.0,0.07,1.15,2.18,15.1,16.95
15.0,15.1,80.0,0.06,1.11,2.17,14.9,16.97
15.0,15.1,85.0,0.06,1.13,2.16,15.1,16.99
15.0,15.1,90.0,0.06,1.12,2.21,14.6,17.02
15.0,15.1,95.0,0.06,1.13,2.19,15.0,17.04
15.0,15.1,100.0,0.07,1.13,2.19,14.6,17.06
15.0,15.1,105.0,0.06,1.1,2.17,14.9,17.08
15.0,15.1,110.0,0.06,1.13,2.16,14.6,17.1
15.0,15.1,115.0,0.07,1.13,2.19,14.9,17.12
15.0,15.1,120.0,0.07,1.12,2.19,14.6,17.15
15.0,15.1,125.0,0.06,1.12,2.17,14.7,17.17
15.0,15.1,130.0,0.06,1.11,2.2,14.8,17.19
15.0,15.1,135.0,0.07,1.12,2.17,14.9,17.21
15.0,15.1,140.0,0.07,1.13,2.16,15.0,17.23
15.0,15.1,145.0,0.06,1.12,2.17,15.0,17.25
15.0,15.0,150.0,0.06,1.1,2.2,14.7,17.27
15.0,15.1,155.0,0.06,1.12,2.17,14.6,17.29
15.0,15.1,160.0,0.06,1.14,2.15,14.9,17.31
15.0,15.1,165.0,0.06,1.12,2.19,14.6,17.33
15.0,15.1,170.0,0.06,1.12,2.15,14.6,17.35
15.0,15.1,175.0,0.06,1.13,2.19,14.8,17.37
15.0,15.1,180.0,0.06,1.13,2.17,15.0,17.39
15.0,15.1,185.0,0.06,1.12,2.19,14.9,17.41
15.0,15.1,190.0,0.07,1.12,2.2,14.9,17.42
15.0,15.1,195.0,0.06,1.1,2.17,14.6,17.44
15.0,15.1,200.0,0.06,1.12,2.13,14.6,17.46
15.0,15.1,205.0,0.06,1.11,2.21,14.7,17.48
15.0,15.1,210.0,0.06,1.13,2.17,15.0,17.5
15.0,15.1,215.0,0.06,1.1,2.2,15.0,17.52
15.0,15.1,220.0,0.06,1.11,2.2,15.0,17.54
15.0,15.1,225.0,0.06,1.11,2.19,14.6,17.56
15.0,15.1,230.0,0.06,1.12,2.2,14.6,17.57
15.0,15.0,235.0,0.06,1.1,2.17,14.7,17.59
15.0,15.1,240.0,0.07,1.13,2.18,14.6,17.61
15.0,15.1,245.0,0.06,1.13,2.15,14.8,17.63
15.0,15.0,250.0,0.06,1.12,2.15,14.7,17.65
15.0,15.1,255.0,0.07,1.13,2.16,14.9,17.66
15.0,15.1,260.0,0.07,1.1,2.16,14.7,17.68
15.0,15.1,265.0,0.06,1.14,2.17,14.8,17.7
15.0,15.1,270.0,0.06,1.1,2.15,14.6,17.72
15.0,15.1,275.0,0.06,1.13,2.17,14.6,17.73
15.0,15.0,280.0,0.06,1.1,2.18,14.7,17.75
15.0,15.1,285.0,0.06,1.12,2.17,14.7,17.77
15.0,15.1,290.0,0.07,1.16,2.15,15.1,17.79
15.0,15.0,295.0,0.06,1.12,2.21,15.0,17.8
15.0,15.1,300.0,0.06,1.13,2.16,14.6,17.82
15.0,15.1,305.0,0.06,1.11,2.19,14.6,17.84
15.0,15.1,310.0,0.06,1.1,2.19,15.0,17.86
15.0,15.1,315.0,0.06,1.12,2.16,14.6,17.88
15.0,15.1,320.0,0.07,1.11,2.16,14.7,17.9
15.0,15.1,325.0,0.06,1.11,2.17,14.8,17.92
15.0,15.0,330.0,0.06,1.12,2.18,14.7,17.94
15.0,15.1,335.0,0.07,1.11,2.16,14.6,17.96
